Customer ID,Customer Name,Customer Type,School Level,Year,Year (datetime),Population,Install Date,Install Year,Decommission Date,Decommission Year,Coordinates,Source
8,Mackay Memorial PS,School,Primary,2024,2024-01-01,779,2016-11-12,2016,2026-01-01,2026,"0.30903486607385955, 32.535037367671556",Inferred
8,Mackay Memorial PS,School,Primary,2025,2025-01-01,779,2016-11-12,2016,2026-01-01,2026,"0.30903486607385955, 32.535037367671556",Inferred
9,Rubaga Mixed SS,School,Secondary,2016,2016-01-01,348,2016-11-21,2016,2026-01-01,2026,"0.3022943,32.5514174",Calculated
9,Rubaga Mixed SS,School,Secondary,2017,2017-01-01,354,2016-11-21,2016,2026-01-01,2026,"0.3022943,32.5514174",Calculated
9,Rubaga Mixed SS,School,Secondary,2018,2018-01-01,352,2016-11-21,2016,2026-01-01,2026,"0.3022943,32.5514174",Calculated
9,Rubaga Mixed SS,School,Secondary,2019,2019-01-01,356,2016-11-21,2016,2026-01-01,2026,"0.3022943,32.5514174",Calculated
9,Rubaga Mixed SS,School,Secondary,2020,2020-01-01,257,2016-11-21,2016,2026-01-01,2026,"0.3022943,32.5514174",Calculated
9,Rubaga Mixed SS,School,Secondary,2021,2021-01-01,257,2016-11-21,2016,2026-01-01,2026,"0.3022943,32.5514174",Inferred
9,Rubaga Mixed SS,School,Secondary,2022,2022-01-01,257,2016-11-21,2016,2026-01-01,2026,"0.3022943,32.5514174",Inferred
9,Rubaga Mixed SS,School,Secondary,2023,2023-01-01,257,2016-11-21,2016,2026-01-01,2026,"0.3022943,32.5514174",Inferred
9,Rubaga Mixed SS,School,Secondary,2024,2024-01-01,257,2016-11-21,2016,2026-01-01,2026,"0.3022943,32.5514174",Inferred
9,Rubaga Mixed SS,School,Secondary,2025,2025-01-01,257,2016-11-21,2016,2026-01-01,2026,"0.3022943,32.5514174",Inferred
10,Bussiiro SSS,School,Senior Secondary,2017,2017-01-01,1255,2017-11-04,2017,2026-01-01,2026,"0.6598452014037094, 33.32671934168296",Calculated
10,Bussiiro SSS,School,Senior Secondary,2018,2018-01-01,1024,2017-11-04,2017,2026-01-01,2026,"0.6598452014037094, 33.32671934168296",Calculated
10,Bussiiro SSS,School,Senior Secondary,2019,2019-01-01,1417,2017-11-04,2017,2026-01-01,2026,"0.6598452014037094, 33.32671934168296",Calculated
10,Bussiiro SSS,School,Senior Secondary,2020,2020-01-01,1474,2017-11-04,2017,2026-01-01,2026,"0.6598452014037094, 33.32671934168296",Calculated
10,Bussiiro SSS,School,Senior Secondary,2021,2021-01-01,1674,2017-11-04,2017,2026-01-01,2026,"0.6598452014037094, 33.32671934168296",Calculated
10,Bussiiro SSS,School,Senior Secondary,2022,2022-01-01,1515,2017-11-04,2017,2026-01-01,2026,"0.6598452014037094, 33.32671934168296",Calculated
10,Bussiiro SSS,School,Senior Secondary,2023,2023-01-01,1564,2017-11-04,2017,2026-01-01,2026,"0.6598452014037094, 33.32671934168296",Calculated
10,Bussiiro SSS,School,Senior Secondary,2024,2024-01-01,1763,2017-11-04,2017,2026-01-01,2026,"0.6598452014037094, 33.32671934168296",Calculated
10,Bussiiro SSS,School,Senior Secondary,2025,2025-01-01,1914,2017-11-04,2017,2026-01-01,2026,"0.6598452014037094, 33.32671934168296",Calculated
11,New ABC Divine Kangrumila PS,School,Primary,2017,2017-01-01,373,2017-10-29,2017,2023-11-17,2023,"0.5793838452068655, 33.03406970177584",Calculated
11,New ABC Divine Kangrumila PS,School,Primary,2018,2018-01-01,413,2017-10-29,2017,2023-11-17,2023,"0.5793838452068655, 33.03406970177584",Calculated
11,New ABC Divine Kangrumila PS,School,Primary,2019,2019-01-01,417,2017-10-29,2017,2023-11-17,2023,"0.5793838452068655, 33.03406970177584",Calculated
11,New ABC Divine Kangrumila PS,School,Primary,2020,2020-01-01,633,2017-10-29,2017,2023-11-17,2023,"0.5793838452068655, 33.03406970177584",Calculated
11,New ABC Divine Kangrumila PS,School,Primary,2021,2021-01-01,633,2017-10-29,2017,2023-11-17,2023,"0.5793838452068655, 33.03406970177584",Inferred
11,New ABC Divine Kangrumila PS,School,Primary,2022,2022-01-01,633,2017-10-29,2017,2023-11-17,2023,"0.5793838452068655, 33.03406970177584",Inferred
11,New ABC Divine Kangrumila PS,School,Primary,2023,2023-01-01,633,2017-10-29,2017,2023-11-17,2023,"0.5793838452068655, 33.03406970177584",Inferred
12,Hope Vision PS,School,Primary,2017,2017-01-01,315,2017-12-23,2017,2026-01-01,2026,"0.4998602579318533, 32.14239029018143",Calculated
12,Hope Vision PS,School,Primary,2018,2018-01-01,340,2017-12-23,2017,2026-01-01,2026,"0.4998602579318533, 32.14239029018143",Calculated
12,Hope Vision PS,School,Primary,2019,2019-01-01,298,2017-12-23,2017,2026-01-01,2026,"0.4998602579318533, 32.14239029018143",Calculated
12,Hope Vision PS,School,Primary,2020,2020-01-01,349,2017-12-23,2017,2026-01-01,2026,"0.4998602579318533, 32.14239029018143",Calculated
12,Hope Vision PS,School,Primary,2021,2021-01-01,349,2017-12-23,2017,2026-01-01,2026,"0.4998602579318533, 32.14239029018143",Inferred
12,Hope Vision PS,School,Primary,2022,2022-01-01,349,2017-12-23,2017,2026-01-01,2026,"0.4998602579318533, 32.14239029018143",Inferred
12,Hope Vision PS,School,Primary,2023,2023-01-01,349,2017-12-23,2017,2026-01-01,2026,"0.4998602579318533, 32.14239029018143",Inferred
12,Hope Vision PS,School,Primary,2024,2024-01-01,349,2017-12-23,2017,2026-01-01,2026,"0.4998602579318533, 32.14239029018143",Inferred
12,Hope Vision PS,School,Primary,2025,2025-01-01,349,2017-12-23,2017,2026-01-01,2026,"0.4998602579318533, 32.14239029018143",Inferred
14,Kinaawa Parents Academy SS,School,Secondary,2017,2017-01-01,180,2017-11-17,2017,2023-06-08,2023,"0.2795134750254886, 32.511637702793784",Calculated
14,Kinaawa Parents Academy SS,School,Secondary,2018,2018-01-01,214,2017-11-17,2017,2023-06-08,2023,"0.2795134750254886, 32.511637702793784",Calculated
14,Kinaawa Parents Academy SS,School,Secondary,2019,2019-01-01,225,2017-11-17,2017,2023-06-08,2023,"0.2795134750254886, 32.511637702793784",Calculated
14,Kinaawa Parents Academy SS,School,Secondary,2020,2020-01-01,301,2017-11-17,2017,2023-06-08,2023,"0.2795134750254886, 32.511637702793784",Calculated
14,Kinaawa Parents Academy SS,School,Secondary,2021,2021-01-01,301,2017-11-17,2017,2023-06-08,2023,"0.2795134750254886, 32.511637702793784",Inferred
14,Kinaawa Parents Academy SS,School,Secondary,2022,2022-01-01,301,2017-11-17,2017,2023-06-08,2023,"0.2795134750254886, 32.511637702793784",Inferred
14,Kinaawa Parents Academy SS,School,Secondary,2023,2023-01-01,301,2017-11-17,2017,2023-06-08,2023,"0.2795134750254886, 32.511637702793784",Inferred
15,Little Flower PS/N,School,Primary/Nursery,2017,2017-01-01,471,2017-12-09,2017,2026-01-01,2026,"-0.534338,31.6254575",Calculated
15,Little Flower PS/N,School,Primary/Nursery,2018,2018-01-01,484,2017-12-09,2017,2026-01-01,2026,"-0.534338,31.6254575",Calculated
15,Little Flower PS/N,School,Primary/Nursery,2019,2019-01-01,475,2017-12-09,2017,2026-01-01,2026,"-0.534338,31.6254575",Calculated
15,Little Flower PS/N,School,Primary/Nursery,2020,2020-01-01,475,2017-12-09,2017,2026-01-01,2026,"-0.534338,31.6254575",Inferred
15,Little Flower PS/N,School,Primary/Nursery,2021,2021-01-01,0,2017-12-09,2017,2026-01-01,2026,"-0.534338,31.6254575",Calculated
15,Little Flower PS/N,School,Primary/Nursery,2022,2022-01-01,440,2017-12-09,2017,2026-01-01,2026,"-0.534338,31.6254575",Calculated
15,Little Flower PS/N,School,Primary/Nursery,2023,2023-01-01,461,2017-12-09,2017,2026-01-01,2026,"-0.534338,31.6254575",Calculated
15,Little Flower PS/N,School,Primary/Nursery,2024,2024-01-01,491,2017-12-09,2017,2026-01-01,2026,"-0.534338,31.6254575",Calculated
15,Little Flower PS/N,School,Primary/Nursery,2025,2025-01-01,511,2017-12-09,2017,2026-01-01,2026,"-0.534338,31.6254575",Calculated
16,St. Joseph Nkooko SSS,School,Senior Secondary,2017,2017-01-01,137,2017-12-29,2017,2026-01-01,2026,"0.9614846273101064, 31.428655467144992",Calculated
