Customer ID,Customer Name,Customer Type,Loc ID,,Loc ID,District,Coordinates,,,Latitude ,Longitude,,Customer ID,System ID,System Name,Design Type,Status,Install Date,,Customer ID,System ID,System Name,Design Type,Status,Install Date,,Customer ID,Year,Population,Source,Latest Population (per Customer ID),Total Population (Latest Year Only) ,Latest year for this row’s customer,Is this row the latest year for that customer?,Population (Latest Year Only),Total Population (Latest Year Only),,"Total Population (Latest Year Only) AI Version I can't understand, here for sanity check"
34,Kaggulwe PS,School,34,,34,Butambala,,,,#VALUE!,#VALUE!,,27,33,High Hope PS #1,Lighting Only,Nearing EOL,1/22/2019,,27,33,High Hope PS #1,Lighting Only,Nearing EOL,1/22/2019,,6,2024,552.00,Inferred,552,,2026,FALSE,,,,
35,Kaggulwe SS,School,35,,35,Butambala,,,,#VALUE!,#VALUE!,,28,34,Joy Christian PS #1,Lighting Only,Nearing EOL,1/28/2019,,28,34,Joy Christian PS #1,Lighting Only,Nearing EOL,1/28/2019,,6,2025,552.00,Inferred,552,,2026,FALSE,,,,
36,Kabasanda UMEA PS,School,36,,36,Butambala,"0.2640463735216982, 32.225413077584435",,,0.2640463735,32.22541308,,29,35,Hope Again HC #1,Lighting Only,Nearing EOL,1/31/2019,,29,35,Hope Again HC #1,Lighting Only,Nearing EOL,1/31/2019,,6,2026,552.00,Inferred,552,,2026,TRUE,552.00,,,
37,Kabasanda HC II,Health Centre,37,,37,Butambala,,,,#VALUE!,#VALUE!,,31,36,St. Posiano Lwere PS #1,Lighting Only,Abandoned,NA,,31,36,St. Posiano Lwere PS #1,Lighting Only,Abandoned,NA,,7,2016,297.00,Calculated,52,,2026,FALSE,,,,
38,Sayidina Abubakar SS,School,38,,38,Butambala,"0.2670887832784029, 32.221034026252795",,,0.2670887833,32.22103403,,31,37,St. Posiano Lwere PS #2,Lighting Only,Abandoned,NA,,31,37,St. Posiano Lwere PS #2,Lighting Only,Abandoned,NA,,7,2017,323.00,Calculated,52,,2026,FALSE,,,,
39,Nsonzibirye UMEA PS,School,39,,39,,"0.29165164572113117, 32.20493541489415",,,0.2916516457,32.20493541,,30,38,Mpanga UMEA PS #1,Lighting Only,Installed,4/20/2021,,30,38,Mpanga UMEA PS #1,Lighting Only,Installed,4/20/2021,,7,2018,338.00,Calculated,52,,2026,FALSE,,,,
40,Kawami C/U PS,School,40,,40,Butambala,"0.21131643187858895, 32.20998903344768",,,0.2113164319,32.20998903,,30,39,Mpanga UMEA PS #2,Lighting Only,Abandoned,NA,,30,39,Mpanga UMEA PS #2,Lighting Only,Abandoned,NA,,7,2019,270.00,Calculated,52,,2026,FALSE,,,,
41,Kawami C/S PS,School,41,,41,Butambala,"0.21702231068504635, 32.20161073195926",,,0.2170223107,32.20161073,,32,40,Kakubo UMEA PS #1,Lighting Only,Installed,4/24/2021,,32,40,Kakubo UMEA PS #1,Lighting Only,Installed,4/24/2021,,7,2020,52.00,Calculated,52,,2026,FALSE,,,,
42,Kisununu C/S PS,School,42,,42,Butambala,,,,#VALUE!,#VALUE!,,32,41,Kakubo UMEA PS #2,Lighting Only,Abandoned,NA,,32,41,Kakubo UMEA PS #2,Lighting Only,Abandoned,NA,,7,2021,52.00,Inferred,52,,2026,FALSE,,,,
43,Kikunyu PS,School,43,,43,Butambala,"0.16053803363018557, 32.22912684457227",,,0.1605380336,32.22912684,,38,42,Sayidina Abubakar SS #1,Lighting Only,Design,NA,,38,42,Sayidina Abubakar SS #1,Lighting Only,Design,NA,,7,2022,52.00,Inferred,52,,2026,FALSE,,,,
44,Kikunyu Modern PS,School,44,,44,,"0.2505706550130355, 32.2028910604319",,,0.250570655,32.20289106,,38,43,Sayidina Abubakar SS #2,Lighting Only,Design,NA,,38,43,Sayidina Abubakar SS #2,Lighting Only,Design,NA,,7,2023,52.00,Inferred,52,,2026,FALSE,,,,
45,St. Joseph Kikkunyu PS,School,45,,45,Butambala,"0.29084072056539617, 32.20643998095017",,,0.2908407206,32.20643998,,38,44,Sayidina Abubakar SS #3,Lighting Only,Design,NA,,38,44,Sayidina Abubakar SS #3,Lighting Only,Design,NA,,7,2024,52.00,Inferred,52,,2026,FALSE,,,,
46,Kilokola HC II,Health Centre,46,,46,,"0.23309606746088915, 32.19170124393598",,,0.2330960675,32.19170124,,33,45,St. Kizito Bulugu PS #1,Lighting Only,Installed,5/17/2021,,33,45,St. Kizito Bulugu PS #1,Lighting Only,Installed,5/17/2021,,7,2025,52.00,Inferred,52,,2026,FALSE,,,,
47,Mavugeera Umea PS,School,47,,47,Butambala,"0.2260857725592653, 32.20184334409765",,,0.2260857726,32.20184334,,33,46,St. Kizito Bulugu PS #2,Lighting Only,Abandoned,NA,,33,46,St. Kizito Bulugu PS #2,Lighting Only,Abandoned,NA,,7,2026,52.00,Inferred,52,,2026,TRUE,52.00,,,
48,Buyenga Q/S PS,School,48,,48,Butambala,"0.2426636393601461, 32.21167347705285",,,0.2426636394,32.21167348,,35,47,Kaggulwe SS #1,Lighting Only,Design,NA,,35,47,Kaggulwe SS #1,Lighting Only,Design,NA,,8,2016,800.00,Calculated,779,,2026,FALSE,,,,
49,Senge HC III,Health Centre,49,,49,Butambala,,,,#VALUE!,#VALUE!,,35,48,Kaggulwe SS #2,Lighting Only,Design,NA,,35,48,Kaggulwe SS #2,Lighting Only,Design,NA,,8,2017,796.00,Calculated,779,,2026,FALSE,,,,
50,Butambala School for the Deaf PS,School,50,,50,,,,,#VALUE!,#VALUE!,,36,49,Kabasanda UMEA PS #1,Lighting Only,Design,NA,,36,49,Kabasanda UMEA PS #1,Lighting Only,Design,NA,,8,2018,799.00,Calculated,779,,2026,FALSE,,,,
51,Kibibi UMEA PS,School,51,,51,Butambala,"0.23093761359084192, 32.17586519778935",,,0.2309376136,32.1758652,,36,50,Kabasanda UMEA PS #2,Lighting Only,Abandoned,NA,,36,50,Kabasanda UMEA PS #2,Lighting Only,Abandoned,NA,,8,2019,803.00,Calculated,779,,2026,FALSE,,,,
52,Kibibi SS,School,52,,52,Butambala,"0.23088669588942642, 32.18135739785007",,,0.2308866959,32.1813574,,42,51,Kisununu C/S PS #1,Lighting Only,Abandoned,NA,,42,51,Kisununu C/S PS #1,Lighting Only,Abandoned,NA,,8,2020,779.00,Calculated,779,,2026,FALSE,,,,
53,Kibibi C/U PS,School,53,,53,Butambala,"0.23372, 32.16926",,,0.23372,32.16926,,34,52,Kaggulwe PS #1,Lighting Only,Design,NA,,34,52,Kaggulwe PS #1,Lighting Only,Design,NA,,8,2021,779.00,Inferred,779,,2026,FALSE,,,,
