Customer ID,System ID,System Name,Design Type,Status,Install Date,,Customer ID,Year,Population,Source,"Total Population (All Years, per Customer)","Total Population (All Customers, All Years)",,Customer ID,Customer Name,Customer Type,School Level,Public or Private,Loc ID,,Loc ID,District,Coordinates
55,71,Simba Islamic PS #1,Lighting Only,Installed,12/4/2021,,10,2019,"1,417.00",Calculated,15514,,,72,Kyerima UMEA PS,School,Primary,,72,,72,,
68,72,Kibugga C/S PS #1,Lighting Only,Installed,11/27/2021,,10,2020,"1,474.00",Calculated,15514,,,73,Ssenyomo C/S PS,School,Primary,Public,73,,73,Butambala,"0.18020, 32.11317"
62,73,Kayenje C/S PS #1,Lighting Only,Installed,11/20/2021,,10,2021,"1,674.00",Calculated,15514,,,74,Kinoni PS,School,Primary,Public,74,,74,Butambala,"0.21675172322037695, 32.117385894462295"
64,74,Kayenje C/U PS #1,Lighting Only,Installed,11/13/2021,,10,2022,"1,515.00",Calculated,15514,,,75,Gombe UMEA PS,School,Primary,Public,75,,75,Butambala,"0.18068091169246886, 32.118396799812096"
98,75,Bulo C/S PS #1,Lighting Only,Installed,11/27/2021,,10,2023,"1,564.00",Calculated,15514,,,76,Ntolomwe UMEA PS,School,Primary,,76,,76,,
99,76,Bwetyaba UMEA PS #1,Lighting Only,Installed,11/20/2021,,10,2024,"1,763.00",Calculated,15514,,,77,Ntolomwe C/S PS,School,Primary,Public,77,,77,Butambala,"0.1468613348941984, 32.11477591509497"
52,77,Kibibi SS #1,Lighting Only,Nearing EOL,12/11/2021,,10,2025,"1,914.00",Calculated,15514,,,78,Mayungwe C/U PS,School,Primary,Public,78,,78,Butambala,"0.14015245574468982, 32.06178158329074"
67,78,Budde SS #1,Lighting Only,Installed,11/20/2021,,10,2026,"1,914.00",Inferred,15514,,,79,St. Peters Muyungwe SS,School,Secondary,,79,,79,,
84,79,Butawuka Magezi Ntake SS #1,Lighting Only,Installed,11/27/2021,,11,2017,373.00,Calculated,3735,,,80,Makulungo UMEA PS,School,Primary,Public,80,,80,Butambala,"0.18061764512799813, 32.18760262886709"
85,80,Cardinal Wamala SS #1,Lighting Only,Installed,12/4/2021,,11,2018,413.00,Calculated,3735,,,81,Budde UMEA PS,School,Primary,Public,81,,81,Butambala,"0.1263374116478305, 32.18551211374405"
90,81,Kitagobwa SS #1,Lighting Only,Installed,12/4/2021,,11,2019,417.00,Calculated,3735,,,82,Lugala C/S PS,School,Primary,,82,,82,,
200,82,Mustard Seed Academy PS/N #1,Lighting Only,Installed,8/5/2024,,11,2020,633.00,Calculated,3735,,,83,Lugala C/U PS,School,Primary,Public,83,,83,Butambala,"0.1407569170113463, 32.18287077158109"
186,83,Kasaka SSS #1,Lighting Only,Installed,2/19/2025,,11,2021,633.00,Inferred,3735,,,84,Butawuka Magezi Ntake SS,School,Secondary,Public,84,,84,Butambala,"0.11344504112973917, 32.00904403300039"
213,84,All We Are #1,Lighting Only,Installed,3/14/2025,,11,2022,633.00,Inferred,3735,,,85,Cardinal Wamala SS,School,Secondary,Public,85,,85,Butambala,"0.11923614258981283, 31.994115015108996"
213,85,All We Are #2,Lighting Only,Installed,3/14/2025,,11,2023,633.00,Inferred,3735,,,86,Kiwaala UMEA PS,School,Primary,,86,,86,,"0.0727812563196929, 31.866842462471762"
200,86,Mustard Seed Academy SS #2,Lighting Only,Installed,5/16/2025,,12,2017,315.00,Calculated,3396,,,87,Nakatooke UMEA PS,School,Primary,,87,,87,,"0.11345498833282545, 32.044857800787376"
211,87,Kanoni Modern C/S P/N #1,Lighting Only,Installed,6/5/2025,,12,2018,340.00,Calculated,3396,,,88,Nawango C/U PS,School,Primary,Public,88,,88,Butambala,"0.11021457110359154, 32.02463142670702"
204,88,Gomba Parents PS #1,Lighting Only,Installed,6/12/2025,,12,2019,298.00,Calculated,3396,,,89,Bulo Parents SS,School,Secondary,,89,,89,,"0.11864076587868344, 31.999104860629497"
210,89,Aidah And Topher PS #1,Lighting Only,Installed,6/18/2025,,12,2020,349.00,Calculated,3396,,,90,Kitagobwa SS,School,Secondary,Public,90,,90,Butambala,"0.10297309196381126, 31.927566751566033"
162,90,Bukandula Mixed SS #1,Lighting Only,Installed,6/25/2025,,12,2021,349.00,Inferred,3396,,,91,Butawuka UMEA PS,School,Primary,Public,91,,91,Butambala,"0.11258696972303399, 32.01010560832316"
214,91,St. Joseph's VS/SS #1,Lighting Only,Installed,7/2/2025,,12,2022,349.00,Inferred,3396,,,92,Bule UMEA PS,School,Primary,,92,,92,,"0.10863638964567704, 31.974737970104545"
214,92,St. Joseph's VS/SS #2,Lighting Only,Installed,7/2/2025,,12,2023,349.00,Inferred,3396,,,93,Nkokooma C/S PS,School,Primary,,93,,93,,"0.10600783404685961, 31.9507158207815"
150,93,Mpenja SS #1,Lighting Only,Installed,7/9/2025,,12,2024,349.00,Inferred,3396,,,94,Kitagobwa C/S PS,School,Primary,,94,,94,,"0.0952272279750871, 31.93326964035776"
153,94,Kyayi Seed SS #1,Lighting Only,Installed,7/16/2025,,12,2025,349.00,Inferred,3396,,,95,Bugobango C/U PS,School,Primary,,95,,95,,
187,95,St. Leonard's SS #1,Lighting/USB Charging,Installed,10/20/2025,,12,2026,349.00,Inferred,3396,,,96,Kitagobwa UMEA PS,School,Primary,,96,,96,,"0.10243940200921828, 31.927577161401743"
189,96,Kisozi Seed SS #1,Lighting/USB Charging,Installed,10/27/2025,,14,2017,180.00,Calculated,1823,,,97,Bulo Quran PS,School,Primary,Public,97,,97,Butambala,"0.11577, 31.99839"
215,97,St. Maria Goretti PS #1,Lighting Only,Installed,11/8/2025,,14,2018,214.00,Calculated,1823,,,98,Bulo C/S PS,School,Primary,Public,98,,98,Butambala,"0.11554, 31.99610"
215,98,St. Maria Goretti PS #2,Loads,Installed,11/8/2025,,14,2019,225.00,Calculated,1823,,,99,Bwetyaba UMEA PS,School,Primary,Public,99,,99,Butambala,"0.07669294389334638, 31.938332965612627"
216,99,Hillside PS #1,Lighting Only,Installed,11/4/2025,,14,2020,301.00,Calculated,1823,,,100,Waduduma PS,School,Primary,,100,,100,,
217,100,Vision Park Junior PS #1,Lighting/USB Charging,Installed,1/2/2026,,14,2021,301.00,Inferred,1823,,,101,Butende UMEA PS,School,Primary,,101,,101,,
200,101,Mustard Seed Academy PS Dormitory #3,Lighting/USB Charging,Installed,1/2/2026,,14,2022,301.00,Inferred,1823,,,102,Bulo HC II,Health Centre,,,102,,102,,
,,,,,,,14,2023,301.00,Inferred,1823,,,103,Bulo HC III,Health Centre,,,103,,103,Butambala,"0.1132195356143764, 31.998843355928518"
,,,,,,,15,2017,471.00,Calculated,4319,,,104,Ngando HC III,Health Centre,,,104,,104,Butambala,"0.07585647329221862, 31.925437936171036"
,,,,,,,15,2018,484.00,Calculated,4319,,,105,Kyabadaza HC III,Health Centre,,,105,,105,,"0.1209112570014584, 32.18190175541943"
,,,,,,,15,2019,475.00,Calculated,4319,,,106,Kyambala Moslem PS,School,Primary,Public,106,,106,Kalungu,"-0.15252123868528306, 31.80362391594264"
,,,,,,,15,2020,475.00,Inferred,4319,,,107,Kyambala R/C PS,School,Primary,Public,107,,107,Kalungu,"-0.15578749220322632, 31.801446405754273"
,,,,,,,15,2021,0.00,Calculated,4319,,,108,Namwanzi PS,School,Primary,Public,108,,108,Kalungu,"-0.23794, 31.83046"
,,,,,,,15,2022,440.00,Calculated,4319,,,109,Bukulula M PS,School,Primary,,109,,109,,
,,,,,,,15,2023,461.00,Calculated,4319,,,110,Kamutuuza Tower PS,School,Primary,Public,110,,110,Kalungu,"-0.24161, 31.82953"
,,,,,,,15,2024,491.00,Calculated,4319,,,111,St. Joseph Kalangala PS,School,Primary,Public,111,,111,Kalungu,"-0.15417, 31.87530"
,,,,,,,15,2025,511.00,Calculated,4319,,,112,Bugonzi R/C PS,School,Primary,Public,112,,112,Kalungu,"-0.24920720644961758, 31.824797601395936"
,,,,,,,15,2026,511.00,Inferred,4319,,,113,Kiticope PS,School,Primary,Public,113,,113,Kalungu,"-0.07793915489035481, 31.866126005453552"
,,,,,,,16,2017,137.00,Calculated,2016,,,114,Kiwoomya PS,School,Primary,Public,114,,114,Kalungu,"-0.09208, 31.86676"
,,,,,,,16,2018,181.00,Calculated,2016,,,115,Kyato R/C PS,School,Primary,Public,115,,115,Kalungu,"-0.19804, 31.72115"
,,,,,,,16,2019,190.00,Calculated,2016,,,116,Kabukunge Demonstration PS,School,Primary,Public,116,,116,Kalungu,"-0.19972, 31.75321"
,,,,,,,16,2020,217.00,Calculated,2016,,,117,Kabungo PS,School,Primary,Public,117,,117,Kalungu,"-0.15088029464901268, 31.77741919352805"
,,,,,,,16,2021,0.00,Calculated,2016,,,118,Bulawula PS,School,Primary,Public,118,,118,Kalungu,"-0.17723, 31.78805"
,,,,,,,16,2022,170.00,Calculated,2016,,,119,Kalongo C/U PS,School,Primary,,119,,119,,
,,,,,,,16,2023,216.00,Calculated,2016,,,120,Mapeera SS,School,Secondary,,120,,120,,
,,,,,,,16,2024,295.00,Calculated,2016,,,121,Kigasa Baptist PS,School,Primary,Public,121,,121,Kalungu,"-0.07079, 31.79914"
,,,,,,,16,2025,305.00,Calculated,2016,,,122,Kitulikizi PS,School,Primary,Public,122,,122,Kalungu,"-0.08224461860985825, 31.749140456131297"
,,,,,,,16,2026,305.00,Inferred,2016,,,123,St. Gertrude Kyamulibwa Girls PS,School,Primary,Public,123,,123,Kalungu,"-0.07803, 31.75107"
,,,,,,,17,2017,256.00,Calculated,3357,,,124,Kabaale Lukaya C/U PS,School,Primary,Public,124,,124,Kalungu,"0.15800, 31.81800"
,,,,,,,17,2018,293.00,Calculated,3357,,,125,St. Kizito Kyam PS,School,Primary,Private,125,,125,Kalungu,"-0.08297291621774719, 31.75671479531341"
,,,,,,,17,2019,302.00,Calculated,3357,,,126,Kisaana SS,School,Secondary,,126,,126,,
,,,,,,,17,2020,349.00,Calculated,3357,,,127,Kiwaawo Muslim PS,School,Primary,Public,127,,127,Kalungu,"-0.1079621366788804, 31.785856243575587"
,,,,,,,17,2021,0.00,Calculated,3357,,,128,Kitosi Muslim Theological Institute PS,School,Primary,Public,128,,128,Kalungu,"-0.18868, 31.66307"
,,,,,,,17,2022,357.00,Calculated,3357,,,129,Bwesa PS,School,Primary,,129,,129,,
,,,,,,,17,2023,641.00,Calculated,3357,,,130,St. John Ttowa PS,School,Primary,,130,,130,,
,,,,,,,17,2024,381.00,Calculated,3357,,,131,Kapere Parents PS,School,Primary,Public,131,,131,Kalungu,"-0.15417, 31.87530"
,,,,,,,17,2025,389.00,Calculated,3357,,,132,Kalungi C/U PS,School,Primary,,132,,132,,
,,,,,,,17,2026,389.00,Inferred,3357,,,133,Kapere Memorial PS,School,Primary,Public,133,,133,Kalungu,"-0.15691, 31.86996"
,,,,,,,18,2017,226.00,Calculated,2086,,,134,Bajja P7 PS,School,Primary,Public,134,,134,Kalungu,"-0.16093, 31.86529"
